id,nama,lokasi_resto,menu_restoran,nama_produk,delivery_time,nama_pembeli,id_pembeli,lokasi_pembeli,review,rating,harga_jual,jumlah_dilihat
68,Seller68,Jakarta,Popeyes,Sandwich,38,User7917,1381,Surabaya,Good,3.36,47.9,355
69,Seller69,Surabaya,Five Guys,Burger,54,User1544,8485,Surabaya,Good,3.72,90.22,456
70,Seller70,Bandung,Arby's,Sandwich,45,User9738,6558,Jakarta,Good,2.67,42.45,876
71,Seller71,Jakarta,Sonic Drive-In,Coffee,55,User4616,5736,Bandung,Excellent,2.83,82.43,725
72,Seller72,Bandung,Dunkin' Donuts,Sandwich,34,User8286,2025,Surabaya,Average,3.11,58.87,451
73,Seller73,Jakarta,Panda Express,Coffee,33,User9650,6471,Jakarta,Excellent,4.27,31.4,698
74,Seller74,Surabaya,McDonald's,Chicken,23,User4666,6528,Surabaya,Average,4.74,28.62,544
75,Seller75,Jakarta,Subway,Chicken,44,User6124,1317,Surabaya,Good,1.75,51.8,506
76,Seller76,Jakarta,Domino's Pizza,Burger,59,User2795,8007,Surabaya,Poor,4.95,51.23,928
77,Seller77,Bandung,Taco Bell,Burger,21,User603,5773,Jakarta,Poor,4.35,82.04,524
78,Seller78,Surabaya,Subway,Pizza,48,User829,135,Bandung,Excellent,2.11,93.61,153
79,Seller79,Surabaya,Pizza Hut,Pizza,42,User1955,7037,Surabaya,Good,4.74,19.64,387
80,Seller80,Bandung,Burger King,Sandwich,16,User4264,2278,Surabaya,Average,2.93,23.2,219
81,Seller81,Bandung,Arby's,Donut,17,User4510,4691,Surabaya,Average,1.76,45.76,315
82,Seller82,Jakarta,Taco Bell,Chicken,29,User5766,6322,Surabaya,Excellent,4.17,19.74,4
83,Seller83,Surabaya,KFC,Coffee,18,User3886,4107,Bandung,Poor,1.52,21.17,867
84,Seller84,Bandung,Starbucks,Pizza,57,User3638,4802,Bandung,Excellent,3.81,62.7,891
85,Seller85,Bandung,Dunkin' Donuts,Burger,43,User912,8017,Jakarta,Average,1.01,61.47,229
86,Seller86,Bandung,Panda Express,Ice Cream,47,User5058,6465,Surabaya,Excellent,2.36,89.71,406
87,Seller87,Surabaya,Panda Express,Burger,23,User8418,2929,Surabaya,Average,2.71,56.16,482
88,Seller88,Surabaya,KFC,Sandwich,39,User770,4715,Surabaya,Poor,1.47,21.98,312
89,Seller89,Jakarta,Popeyes,Sandwich,40,User5778,8065,Jakarta,Average,3.5,44.96,374
90,Seller90,Jakarta,McDonald's,Donut,39,User8756,4349,Surabaya,Good,2.12,24.37,557
91,Seller91,Jakarta,Little Caesars,Donut,47,User3364,1554,Jakarta,Average,1.58,35.84,672
92,Seller92,Surabaya,McDonald's,Pasta,40,User7652,4839,Jakarta,Poor,2.12,93.72,299
93,Seller93,Surabaya,Domino's Pizza,Salad,23,User2124,4218,Bandung,Excellent,3.07,68.55,313
94,Seller94,Jakarta,Burger King,Donut,48,User3408,2176,Surabaya,Poor,4.8,64.94,96
95,Seller95,Jakarta,Five Guys,Donut,31,User9734,8140,Bandung,Poor,2.19,37.81,201
96,Seller96,Bandung,Domino's Pizza,Taco,17,User4602,6001,Jakarta,Good,3.44,56.4,816
97,Seller97,Surabaya,Taco Bell,Taco,56,User6809,7440,Jakarta,Excellent,4.98,29.58,727
98,Seller98,Jakarta,Jack in the Box,Sandwich,44,User4211,858,Jakarta,Average,2.51,8.87,950
99,Seller99,Bandung,Five Guys,Taco,52,User7291,4481,Bandung,Excellent,4.42,73.65,2
100,Seller100,Bandung,Dunkin' Donuts,Coffee,51,User171,9202,Surabaya,Excellent,1.66,19.34,539
101,Seller101,Surabaya,KFC,Pasta,18,User5461,7814,Bandung,Average,4.57,64.02,952
102,Seller102,Jakarta,Panda Express,Salad,18,User133,4044,Surabaya,Average,1.78,71.72,517
103,Seller103,Jakarta,Popeyes,Burger,52,User2978,6726,Surabaya,Good,4.3,32.62,768
104,Seller104,Surabaya,Popeyes,Burger,59,User8445,3611,Jakarta,Average,3.53,21.06,296
105,Seller105,Surabaya,McDonald's,Sandwich,25,User1722,5998,Jakarta,Excellent,2.43,82.79,60
106,Seller106,Surabaya,Chick-fil-A,Chicken,17,User3544,4908,Surabaya,Excellent,1.62,8.01,568
107,Seller107,Bandung,Burger King,Chicken,56,User7509,8796,Jakarta,Poor,4.25,60.03,699
108,Seller108,Surabaya,Wendy's,Taco,51,User7375,8921,Surabaya,Excellent,4.39,93.14,266
109,Seller109,Jakarta,McDonald's,Donut,45,User5429,1559,Bandung,Poor,2.91,44.58,34
110,Seller110,Surabaya,Starbucks,Chicken,52,User3830,4625,Jakarta,Poor,2.87,28.41,478
111,Seller111,Jakarta,Starbucks,Ice Cream,48,User1151,799,Bandung,Excellent,3.07,36.36,802
112,Seller112,Surabaya,Popeyes,Taco,30,User5944,8730,Surabaya,Excellent,4.36,80.78,739
113,Seller113,Surabaya,Chipotle,Salad,27,User6846,9498,Jakarta,Good,2.07,42.06,907
114,Seller114,Bandung,Burger King,Taco,24,User9183,9459,Jakarta,Average,4.09,14.2,653
115,Seller115,Surabaya,Little Caesars,Taco,46,User3913,223,Jakarta,Poor,1.25,8.12,990
116,Seller116,Jakarta,Wendy's,Pasta,18,User5507,8772,Jakarta,Excellent,3.55,90.65,266
117,Seller117,Bandung,Chipotle,Chicken,45,User1222,6741,Jakarta,Poor,3.69,7.17,453
118,Seller118,Surabaya,Five Guys,Chicken,27,User4388,290,Bandung,Good,3.48,45.78,845
119,Seller119,Jakarta,Domino's Pizza,Pasta,37,User9713,8496,Surabaya,Good,2.14,71.38,117
120,Seller120,Jakarta,Sonic Drive-In,Ice Cream,47,User4484,3787,Bandung,Average,3.3,57.92,984
121,Seller121,Surabaya,Subway,Ice Cream,52,User3791,7369,Bandung,Good,2.44,39.47,497
122,Seller122,Bandung,McDonald's,Coffee,26,User8355,6002,Bandung,Poor,4.97,28.55,805
123,Seller123,Surabaya,Domino's Pizza,Sandwich,27,User5853,1293,Surabaya,Good,3.61,21.5,264
124,Seller124,Surabaya,Pizza Hut,Coffee,43,User3246,9402,Surabaya,Average,1.54,23.73,116
125,Seller125,Surabaya,Wendy's,Pasta,43,User7308,4044,Jakarta,Excellent,1.68,33.56,961
126,Seller126,Surabaya,Chick-fil-A,Chicken,46,User5527,7534,Jakarta,Good,3.75,80.19,747
127,Seller127,Jakarta,Popeyes,Donut,34,User3294,9738,Bandung,Average,1.75,90.06,193
128,Seller128,Bandung,Little Caesars,Burger,45,User2240,4635,Bandung,Poor,3.19,40.8,700
129,Seller129,Surabaya,McDonald's,Chicken,47,User1640,5510,Surabaya,Poor,3.43,8.22,458
130,Seller130,Jakarta,Panera Bread,Pasta,40,User2961,2105,Jakarta,Excellent,3.39,19.86,334
131,Seller131,Surabaya,McDonald's,Chicken,46,User7500,2781,Jakarta,Good,4.82,74.23,922
132,Seller132,Bandung,Chipotle,Pasta,32,User4039,6975,Jakarta,Good,2.96,95.03,806
133,Seller133,Jakarta,Five Guys,Taco,28,User9761,6778,Bandung,Poor,2.77,69.44,22
134,Seller134,Bandung,McDonald's,Pasta,47,User6015,4547,Bandung,Good,2.82,41.0,115
135,Seller135,Surabaya,Jack in the Box,Sandwich,52,User5123,2285,Jakarta,Excellent,4.83,87.43,798
136,Seller136,Surabaya,Popeyes,Donut,51,User3364,7812,Surabaya,Excellent,3.02,75.71,580
137,Seller137,Bandung,Burger King,Taco,36,User5209,7623,Jakarta,Good,4.5,52.4,66
138,Seller138,Bandung,Subway,Pasta,21,User1580,9139,Surabaya,Poor,2.57,53.25,18
139,Seller139,Bandung,Pizza Hut,Coffee,59,User9522,1314,Jakarta,Average,2.02,39.98,720
140,Seller140,Surabaya,Chipotle,Burger,42,User7678,644,Surabaya,Good,3.71,76.79,931
141,Seller141,Jakarta,Dunkin' Donuts,Ice Cream,28,User277,3205,Jakarta,Excellent,2.31,11.99,169
142,Seller142,Bandung,Subway,Taco,51,User5181,5341,Bandung,Poor,4.68,85.29,172
143,Seller143,Bandung,Panera Bread,Donut,43,User8503,3497,Jakarta,Average,1.02,85.15,432
144,Seller144,Bandung,Arby's,Coffee,26,User6411,1997,Jakarta,Average,1.56,27.21,933
145,Seller145,Bandung,Wendy's,Salad,50,User2336,863,Bandung,Good,2.69,35.46,951
146,Seller146,Surabaya,Dunkin' Donuts,Pasta,52,User7350,3037,Jakarta,Poor,1.88,52.6,16
147,Seller147,Bandung,Five Guys,Pasta,32,User6477,7243,Surabaya,Poor,1.09,99.04,834
148,Seller148,Jakarta,Taco Bell,Burger,34,User9623,520,Jakarta,Poor,1.16,98.16,78
149,Seller149,Jakarta,Domino's Pizza,Burger,25,User1533,358,Bandung,Good,3.07,33.51,582
150,Seller150,Bandung,Pizza Hut,Sandwich,24,User6639,8685,Bandung,Excellent,3.35,43.05,400
151,Seller151,Surabaya,KFC,Coffee,16,User938,8243,Bandung,Good,3.29,42.77,235
152,Seller152,Bandung,Dunkin' Donuts,Chicken,28,User2783,5801,Bandung,Average,4.85,75.81,51
153,Seller153,Surabaya,Chick-fil-A,Donut,24,User9790,3174,Bandung,Excellent,2.28,60.86,541
154,Seller154,Bandung,McDonald's,Burger,56,User4054,842,Surabaya,Poor,4.24,16.06,992
155,Seller155,Jakarta,Five Guys,Ice Cream,17,User3214,8948,Bandung,Average,2.93,92.38,749
156,Seller156,Jakarta,Chipotle,Ice Cream,31,User7059,5967,Jakarta,Excellent,2.75,21.1,956
157,Seller157,Jakarta,Arby's,Burger,38,User2556,7827,Bandung,Excellent,3.49,83.31,473
158,Seller158,Bandung,Five Guys,Salad,49,User3928,6166,Jakarta,Excellent,1.66,62.08,915
159,Seller159,Jakarta,Subway,Pasta,59,User8803,6379,Jakarta,Poor,2.52,12.31,451
160,Seller160,Jakarta,Chick-fil-A,Ice Cream,51,User4354,3475,Jakarta,Average,3.13,73.79,395
161,Seller161,Surabaya,Sonic Drive-In,Coffee,33,User7310,2425,Surabaya,Average,3.57,7.04,41
162,Seller162,Bandung,Subway,Sandwich,48,User1639,4710,Bandung,Good,4.54,26.44,140
163,Seller163,Surabaya,Jack in the Box,Taco,29,User7029,8694,Jakarta,Poor,3.76,72.47,195
164,Seller164,Jakarta,Chipotle,Coffee,59,User4113,349,Surabaya,Excellent,4.94,50.42,318
165,Seller165,Surabaya,Arby's,Coffee,59,User9069,5725,Surabaya,Excellent,3.93,87.43,839
166,Seller166,Jakarta,Little Caesars,Salad,56,User2043,1812,Surabaya,Average,3.08,55.97,521
167,Seller167,Jakarta,Domino's Pizza,Burger,48,User299,3363,Jakarta,Excellent,2.14,62.29,8
168,Seller168,Surabaya,Jack in the Box,Pizza,58,User3129,2907,Bandung,Poor,4.39,44.14,438
169,Seller169,Jakarta,Little Caesars,Coffee,34,User7059,5713,Surabaya,Excellent,2.36,56.95,809
170,Seller170,Jakarta,Dunkin' Donuts,Pizza,35,User9262,3486,Surabaya,Good,1.98,34.36,754
171,Seller171,Jakarta,Little Caesars,Donut,54,User8990,7282,Jakarta,Average,1.9,28.34,462
172,Seller172,Bandung,Panda Express,Chicken,17,User2963,5426,Surabaya,Good,3.38,24.42,398
173,Seller173,Jakarta,Chick-fil-A,Coffee,35,User6916,4869,Jakarta,Good,2.31,37.49,136
174,Seller174,Surabaya,Subway,Chicken,36,User280,4090,Jakarta,Average,2.46,95.74,691
175,Seller175,Surabaya,Wendy's,Coffee,26,User2381,4023,Surabaya,Poor,3.42,5.48,146
176,Seller176,Bandung,Burger King,Coffee,17,User6656,6068,Jakarta,Average,4.84,91.39,328
177,Seller177,Jakarta,Taco Bell,Coffee,56,User8388,9410,Jakarta,Average,4.94,43.65,388
178,Seller178,Surabaya,Jack in the Box,Ice Cream,28,User3191,8023,Bandung,Excellent,4.38,85.37,76
179,Seller179,Surabaya,Wendy's,Ice Cream,43,User8787,9937,Jakarta,Good,2.76,89.9,927
180,Seller180,Jakarta,Subway,Coffee,18,User3772,4736,Jakarta,Poor,1.99,27.78,196
181,Seller181,Bandung,Panda Express,Coffee,20,User5524,4096,Surabaya,Average,3.26,68.67,22
182,Seller182,Jakarta,Arby's,Sandwich,15,User5042,8497,Bandung,Poor,2.55,74.0,86
183,Seller183,Jakarta,Subway,Salad,37,User9350,9393,Bandung,Good,1.74,28.79,13
184,Seller184,Surabaya,Chipotle,Donut,31,User1859,6375,Surabaya,Good,3.75,80.64,863
185,Seller185,Jakarta,McDonald's,Pizza,59,User1737,8383,Jakarta,Average,1.13,17.02,916
186,Seller186,Surabaya,Little Caesars,Coffee,30,User9481,5660,Jakarta,Good,4.14,40.2,575
187,Seller187,Jakarta,Jack in the Box,Pizza,21,User8073,1338,Jakarta,Average,1.88,35.59,724
188,Seller188,Surabaya,Taco Bell,Sandwich,35,User7342,7214,Jakarta,Good,1.05,11.31,102
189,Seller189,Jakarta,Wendy's,Salad,51,User7649,1628,Bandung,Poor,2.08,61.09,948
190,Seller190,Jakarta,Chipotle,Chicken,50,User3716,8025,Bandung,Average,1.99,87.09,643
191,Seller191,Jakarta,Domino's Pizza,Sandwich,15,User7877,9363,Surabaya,Excellent,1.03,10.65,920
192,Seller192,Jakarta,Popeyes,Pasta,26,User3135,6475,Bandung,Excellent,1.18,43.98,60
193,Seller193,Surabaya,Panda Express,Pasta,17,User7191,1054,Bandung,Excellent,2.98,10.57,113
194,Seller194,Bandung,KFC,Chicken,27,User3253,246,Bandung,Poor,4.67,42.36,234
195,Seller195,Jakarta,Panera Bread,Taco,53,User655,2733,Jakarta,Excellent,2.53,16.43,964
196,Seller196,Surabaya,Panera Bread,Taco,43,User6188,7426,Bandung,Average,4.11,63.68,937
197,Seller197,Surabaya,Chipotle,Pizza,21,User512,1724,Jakarta,Poor,2.69,95.43,493
198,Seller198,Bandung,Chipotle,Taco,22,User7201,1953,Jakarta,Excellent,1.13,54.39,448
199,Seller199,Jakarta,Pizza Hut,Sandwich,18,User3849,4579,Surabaya,Poor,4.33,54.65,118
200,Seller200,Surabaya,Starbucks,Pizza,17,User8933,4300,Bandung,Poor,2.75,11.86,850
201,Seller201,Bandung,Arby's,Sandwich,37,User9735,2249,Jakarta,Poor,3.43,38.06,309
202,Seller202,Bandung,Popeyes,Taco,48,User7209,5471,Jakarta,Excellent,1.49,48.68,23
203,Seller203,Bandung,Taco Bell,Burger,38,User950,8397,Jakarta,Excellent,1.96,14.21,248
204,Seller204,Surabaya,Dunkin' Donuts,Sandwich,48,User5776,5469,Jakarta,Good,4.63,56.92,650
205,Seller205,Jakarta,Pizza Hut,Sandwich,46,User1406,9107,Surabaya,Good,1.49,71.4,886
206,Seller206,Jakarta,Domino's Pizza,Chicken,15,User2320,7286,Bandung,Good,4.14,58.53,517
207,Seller207,Jakarta,Taco Bell,Burger,52,User7013,16,Bandung,Excellent,1.57,25.59,347
208,Seller208,Jakarta,Burger King,Ice Cream,44,User6746,1866,Surabaya,Poor,2.38,17.82,899
209,Seller209,Bandung,Taco Bell,Taco,47,User711,3306,Bandung,Excellent,3.82,84.24,100
210,Seller210,Surabaya,Sonic Drive-In,Taco,23,User6641,2210,Bandung,Good,2.51,10.81,872
211,Seller211,Surabaya,Popeyes,Burger,49,User3025,7638,Bandung,Good,3.52,54.04,906
212,Seller212,Bandung,Jack in the Box,Taco,39,User7596,8777,Surabaya,Poor,2.48,17.45,252
213,Seller213,Surabaya,Sonic Drive-In,Donut,35,User3573,3253,Bandung,Average,3.65,82.54,809
214,Seller214,Jakarta,KFC,Taco,33,User3524,6140,Surabaya,Good,4.08,58.12,828
215,Seller215,Surabaya,Jack in the Box,Pasta,19,User6707,9746,Jakarta,Excellent,3.5,7.5,179
216,Seller216,Bandung,Sonic Drive-In,Burger,55,User6448,5094,Surabaya,Good,3.81,15.11,136
217,Seller217,Surabaya,Pizza Hut,Coffee,57,User7911,4151,Surabaya,Poor,2.98,77.9,356
218,Seller218,Bandung,Dunkin' Donuts,Pasta,22,User8962,4023,Surabaya,Good,1.9,38.21,629
219,Seller219,Bandung,Panda Express,Pasta,41,User6829,2037,Surabaya,Average,3.57,47.64,813
220,Seller220,Surabaya,Sonic Drive-In,Sandwich,44,User1042,5939,Bandung,Poor,4.93,84.41,953
221,Seller221,Jakarta,Popeyes,Pizza,19,User7231,6721,Jakarta,Average,2.06,77.46,841
222,Seller222,Surabaya,Burger King,Salad,58,User5060,7503,Jakarta,Good,1.58,6.49,671
223,Seller223,Surabaya,Starbucks,Pasta,58,User6604,9929,Jakarta,Good,2.51,39.26,266
224,Seller224,Surabaya,Wendy's,Taco,54,User4261,1637,Jakarta,Average,1.44,5.68,795
225,Seller225,Jakarta,KFC,Sandwich,46,User6316,8169,Surabaya,Good,4.08,71.69,959
226,Seller226,Bandung,Sonic Drive-In,Pizza,38,User9287,1861,Surabaya,Poor,3.08,74.59,458
227,Seller227,Jakarta,McDonald's,Pizza,27,User5475,5313,Bandung,Excellent,3.43,35.32,694
228,Seller228,Surabaya,Domino's Pizza,Pizza,38,User7283,5454,Surabaya,Excellent,2.59,59.5,750
229,Seller229,Surabaya,Burger King,Pizza,28,User7829,4158,Surabaya,Good,2.45,6.86,781
230,Seller230,Surabaya,Pizza Hut,Ice Cream,15,User8284,6273,Surabaya,Excellent,2.17,88.66,754
231,Seller231,Jakarta,Chick-fil-A,Salad,32,User516,5080,Bandung,Good,4.08,59.7,719
232,Seller232,Bandung,Panera Bread,Pizza,27,User8089,6441,Bandung,Average,2.53,56.42,58
233,Seller233,Surabaya,Pizza Hut,Sandwich,29,User677,3736,Jakarta,Excellent,3.73,71.74,841
234,Seller234,Surabaya,Sonic Drive-In,Taco,57,User4214,9717,Surabaya,Poor,2.64,71.37,372
235,Seller235,Bandung,Domino's Pizza,Coffee,47,User5839,6963,Bandung,Poor,3.16,69.37,751
236,Seller236,Bandung,Five Guys,Ice Cream,50,User1611,613,Jakarta,Good,4.33,89.24,307
237,Seller237,Bandung,Dunkin' Donuts,Pasta,25,User4350,3942,Bandung,Average,4.55,90.61,97
238,Seller238,Bandung,Pizza Hut,Donut,57,User3068,1884,Bandung,Poor,3.03,15.98,862
239,Seller239,Jakarta,Little Caesars,Coffee,42,User9775,5488,Jakarta,Excellent,3.36,80.28,54
240,Seller240,Bandung,Pizza Hut,Salad,27,User703,8481,Bandung,Good,1.48,28.75,540
241,Seller241,Surabaya,Domino's Pizza,Pizza,18,User412,110,Jakarta,Poor,4.04,90.17,998
242,Seller242,Bandung,Chipotle,Coffee,38,User7117,1336,Surabaya,Average,4.72,42.89,768
243,Seller243,Surabaya,Jack in the Box,Donut,16,User4186,814,Bandung,Poor,3.18,75.47,834
244,Seller244,Surabaya,Panera Bread,Taco,59,User8684,3556,Jakarta,Good,1.61,22.19,680
245,Seller245,Surabaya,Little Caesars,Pasta,48,User7358,9195,Surabaya,Average,1.69,78.33,234
246,Seller246,Surabaya,Sonic Drive-In,Burger,33,User2406,2149,Surabaya,Good,2.7,70.06,76
247,Seller247,Jakarta,Dunkin' Donuts,Burger,34,User1909,5083,Jakarta,Good,1.96,24.08,622
248,Seller248,Bandung,Five Guys,Coffee,21,User7323,52,Jakarta,Excellent,3.65,89.85,440
249,Seller249,Bandung,Chipotle,Taco,55,User7082,2140,Bandung,Average,4.61,32.52,236
250,Seller250,Jakarta,Five Guys,Pizza,29,User2320,8268,Surabaya,Good,1.59,27.97,939
251,Seller251,Jakarta,Jack in the Box,Chicken,37,User6161,7082,Jakarta,Poor,3.43,86.08,529
252,Seller252,Surabaya,Little Caesars,Coffee,46,User9874,9478,Surabaya,Good,2.19,72.42,731
253,Seller253,Bandung,Panda Express,Taco,23,User1575,1984,Bandung,Excellent,2.74,46.51,784
254,Seller254,Bandung,Subway,Pizza,52,User1575,8521,Jakarta,Excellent,2.69,86.93,710
255,Seller255,Bandung,Dunkin' Donuts,Ice Cream,41,User3804,6357,Jakarta,Excellent,1.49,30.22,995
256,Seller256,Surabaya,Arby's,Salad,30,User3735,7066,Bandung,Average,1.0,67.06,713
257,Seller257,Bandung,Jack in the Box,Burger,21,User136,3414,Bandung,Poor,1.85,53.16,95
258,Seller258,Bandung,Sonic Drive-In,Pasta,27,User8254,802,Bandung,Good,3.99,86.52,425
259,Seller259,Jakarta,Domino's Pizza,Coffee,48,User2166,2412,Bandung,Good,3.07,63.83,989
260,Seller260,Surabaya,McDonald's,Sandwich,28,User7779,4674,Jakarta,Average,1.3,73.64,66
261,Seller261,Surabaya,Dunkin' Donuts,Pizza,53,User315,5545,Surabaya,Excellent,1.44,63.07,784
